Id_old,Id,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
10556,3799,80,24.3,7.8,3,6.4,45.7,0.1,0.3,22.6,2,2.9,72.1,2.2,2,3.8,3.2,1.1,0.2,1.6,1
5342,3800,75,21.8,10.5,4.2,7.9,55.1,-0.3,-1,34.9,2.4,3.6,67.8,3.6,3.7,6.6,0.7,0.5,0.6,1.4,1
5716,3801,85,19.1,4.5,1.9,4.5,42.8,0.4,1.2,34.3,0.4,0.6,75.7,0.6,1.8,2.4,0.8,0.4,0.2,0.6,1
13790,3802,63,19.1,8.2,3.5,6.7,52.5,0.3,0.8,23.7,0.9,1.5,66.9,0.8,2,3,1.8,0.4,0.1,1.9,1
5470,3803,63,17.8,3.7,1.7,3.4,50.8,0.5,1.4,13.7,0.2,0.5,54,2.4,2.7,4.9,0.4,0.4,0.6,0.7,1
1961,3804,88,20,8.8,3.7,8.7,43.6,-0.2,-0.5,6.9,2,2.8,75.1,1.8,2.9,4.7,1.8,0.4,0.3,1.1,1
2677,3805,70,20.6,7,3.2,5.4,58.9,0.1,-0.1,-3.6,0.7,1.4,56.7,2.9,4.6,7.6,0.6,0.4,0.7,1.2,1
11722,3806,57,17.6,5.4,1.7,4.7,37.2,0.9,2.8,33.2,1.4,1.8,78.3,0.8,1.7,2.6,0.4,0.6,0.6,0.3,1
6148,3807,46,26.5,9.3,3.1,7.2,44,0.6,1.7,27.5,2,2.3,82.1,1.3,2.8,4.1,1.8,0.7,0.6,1.7,1
3040,3808,64,33.4,16.9,6.4,11.3,59,0.3,1.1,-13,3.7,4.9,74.9,3.4,8,11.9,0.8,0.4,2.5,2.4,1
4212,3809,72,30.6,13.2,4.9,11,46.9,1,2.5,48.1,2,2.8,74.1,1,3.1,3.9,4,1.1,0.2,1.5,1
5923,3810,47,15.2,6.5,2.5,6.5,38.3,0.7,2.5,39.7,0.8,1.1,75.5,0.6,1.3,2,0.3,0.4,0.3,0.7,1
13144,3811,41,9.8,2.3,0.9,2.3,37.9,-0.4,-0.6,-4.7,0.9,1.3,64.7,1.5,1.9,3.5,0.2,0.3,0.4,0.4,0
8884,3812,64,29.7,12,4.2,9.6,45.2,0.8,2.1,28.3,2.7,3.3,76.8,1.5,3.1,4.8,3.8,1.5,0,2,1
12443,3813,90,31.1,12.9,4.9,10.3,47,0.3,1.1,17,2.5,2.6,93.4,1.6,3.4,4.7,2.3,0.6,0.4,2.5,1
2874,3814,45,5.2,1.3,0.5,1.4,41,0.1,0.1,21.1,0.2,0.2,73.3,0.3,0.7,1,0.2,0.2,0.2,0.5,1
8040,3815,29,7.5,1.9,0.7,2.6,30.1,0.3,1,26.8,0.3,0.4,68,0.4,0.8,1.2,0.5,0.3,0.1,0.7,1
762,3816,53,13.8,6.7,2.1,4.7,43.5,0.2,0.7,19.8,2.7,3.8,75.1,1.1,1.9,3.1,0.2,0.4,0.6,0.7,1
3062,3817,83,8.5,2.2,0.9,1.8,48.4,-0.3,-1,5.6,0.5,0.9,63.4,0.2,0.6,0.8,1.3,0.4,0.2,0.8,1
829,3818,64,10.4,5.1,2.2,4.9,45.5,-0.1,-0.2,-6.1,0.8,1.8,43.6,0.7,1,1.6,1.2,0.5,0.1,1.2,1
5659,3819,50,22.7,14.7,5.7,11.9,50.4,0.3,1.2,24.3,3.1,4.5,68.3,1.2,2.3,3.7,2.3,0.3,0.1,1.9,1
5419,3820,60,13.9,4.3,1.6,3.2,46.5,0,0.2,16.5,1.1,2,56.7,1.8,2.4,3.9,0.1,0.2,1.6,0.8,1
9093,3821,64,15.7,6,2.1,4.1,50.5,0.3,0.7,14,1.6,2.1,77.2,0.7,1.6,2.2,0.7,0.5,0.3,0.9,1
8590,3822,71,10.1,4,1.4,3,47.7,0.4,0.7,31.4,1.3,1.6,84.3,0.3,0.5,0.8,1.8,0.5,-0.2,1.6,0
11287,3823,90,38.4,12.5,5.1,10.2,50.2,0.4,0.9,18.1,2.9,4.5,66.7,3,5.7,8.8,3.2,1.7,0.8,2.1,1
3556,3824,34,10.5,3.3,1.2,2.7,43.6,0,0,23.4,1.2,1.7,64.9,1.5,2.4,3.8,0.5,0.2,0.6,0.6,0
5895,3825,77,15.4,4.9,1.7,3.6,48.1,0.8,2,14.3,0.8,1.2,59,1.3,4.1,5.5,0.4,0.1,0.2,0.4,1
3591,3826,74,12.6,7.4,3.1,6.1,51,-0.3,-0.7,11.9,1.6,2.7,64.4,1.8,1.9,3.6,0.7,0.3,0.4,1.5,1
13455,3827,80,17.4,7.5,2.7,8.6,28.8,0.3,1.5,24.6,1.8,1.9,98.9,0.4,1.1,1.6,3.3,0.6,-0.2,1.4,1
3287,3828,59,20,9.4,3.5,7.5,44.2,0.4,1.3,47.4,1.7,2,79.6,0.9,1.9,2.7,1.4,0.9,0.1,0.9,1
12761,3829,96,42,15.2,5.7,12.2,47.5,0.6,2,32.9,3.3,4.4,78.7,1.9,2.7,5,5.8,1.6,0.5,2.7,1
6039,3830,35,14.7,4.5,1.9,3.5,52.2,-0.2,-0.5,-30.2,1,1.5,66.1,1.6,3.2,5.2,0.4,0.4,0.7,0.7,1
526,3831,53,16.2,6.2,2.3,4.9,46,0.1,0.3,21.4,1.5,2.2,69.6,0.9,2.2,2.8,1.4,0.5,0.2,1.1,1
8201,3832,92,23.1,9,3.6,9.5,35.8,0.8,2.2,28.9,1.1,1.5,75.6,0.9,2.2,3,2.7,0.5,0.2,1.3,1
709,3833,58,12.5,3.3,1.2,3.1,40.9,0.2,0.7,17.3,0.9,1.5,55.1,0.2,0.7,1,2.5,0.4,0.1,1,0
8268,3834,47,12.3,4.4,1.7,3.3,52.7,-0.1,-0.4,13.9,0.8,1,81.3,0.4,1.3,1.7,0.2,0.3,0.2,0.5,1
778,3835,58,32.9,13.7,4.6,10,46.7,0.8,2.7,38.7,3,3.4,90.4,1.3,4,5.2,2.2,0.8,0.3,1.6,1
876,3836,70,18.7,7.4,2.7,5.3,50.2,0.3,0.9,11,2.1,2.9,67.5,1.9,4.5,6.3,0.3,0.6,0.5,0.7,1
1322,3837,100,12.1,4.4,1.6,3.6,47.1,0.4,1.1,-11.4,1,1.5,67.6,1.1,2.3,3.6,0.4,0.4,1.6,1,1
10095,3838,71,15.7,5.8,2.2,4.6,46,0,-0.1,-0.3,1.6,2.5,61.6,1.2,1.8,2.9,0.7,0.4,0.4,1.1,1
11929,3839,53,15.8,6.2,2.3,4.9,49.4,0.1,0.5,11.5,1.9,3,63.1,0.9,2,3,1,0.5,0.5,0.9,1
3734,3840,47,13.2,5.6,2.3,4.4,47.6,-0.5,-1.6,9.9,1.4,2,74,1.6,1.3,2.6,0.4,0.1,0.4,0.8,1
10165,3841,51,15.2,7.3,3,5.5,51.2,0.4,0.8,24.4,1,1.2,76.4,1.1,1.4,2.4,0.4,0.4,0.1,0.6,1
4957,3842,91,40.8,18.2,7.4,14.3,54.8,-0.3,-0.6,-4.3,4.2,5.8,73.7,3.8,7.5,11.9,1.5,0.9,2.2,2.8,1
12340,3843,106,45,20,7.5,14.7,52.6,0.4,1.2,21.5,4.6,6.4,71.4,2.6,6,9.3,3.5,1.7,0.5,2.5,0
6389,3844,66,16.8,7,3,8,38.1,-0.1,-0.1,46.5,0.8,1.1,79.2,0.5,1.2,1.7,2.1,0.7,0.1,1.1,1
13097,3845,59,9.3,3.1,1.4,3.2,42.4,-0.2,-0.7,22.9,0.5,0.8,68.6,1.2,0.8,1.7,0.4,0.3,-0.1,0.9,1
4742,3846,77,20.8,8.6,3.9,8.6,45.3,0.3,0.8,17,1.1,1.9,58.3,2.2,2.6,4.8,1.4,0.4,0.8,1.5,1
1612,3847,37,18.2,5.3,2.2,4.9,44.8,0.1,0.5,-3.4,0.6,1,60.5,1.5,2.8,4.5,0.5,0.3,0.5,0.8,1
9308,3848,47,13.3,6.4,2.5,5.9,42.3,0.5,1.8,14.1,1,1.4,72.4,0.4,0.9,1.3,3,0.4,0,1.7,0
4695,3849,53,5.4,1.1,0.4,1.1,41.7,-0.7,-1.6,-5.2,0.2,0.3,58.6,0.5,0.5,0.9,0.4,0.2,0,0.3,1
7214,3850,79,19.1,7.4,3,5.8,51.7,0.1,0.2,6.8,1.6,2.5,64.8,1.3,2.5,4.1,0.4,0.5,0.3,1.5,1
1789,3851,58,14.7,10.1,4.3,7.6,54.9,-0.4,-1.1,11.2,1.9,3.4,49.2,2.4,2.3,4.9,0.8,0.5,-0.1,1.6,1
2319,3852,76,24,7.1,2.7,6.7,39.5,0.1,0.7,23.9,1.7,2.4,77,1.3,3,4.1,2,1,0.4,2,1
11300,3853,64,12.3,5.3,2.3,5,44.7,-0.1,-0.3,-25.7,1.1,1.6,61.1,1.7,1.2,2.5,1.2,0.5,0.3,1.1,1
12407,3854,64,10.8,3.5,1.1,2.8,41.9,0.1,0.2,-10.8,1.2,1.8,72.3,1.2,2.4,3.6,0.3,0.1,0.3,0.4,1
3690,3855,56,10.8,4.1,1.6,4,41.2,-0.3,-0.6,15.7,0.8,1.1,79.5,0.9,0.7,1.6,0.5,0.5,0.2,0.4,1
3657,3856,60,30.6,10.8,4.7,8.5,55.5,0.2,0.4,0.6,1,1.7,57.8,2.1,5.2,7.1,1.4,0.7,1,1.8,1
10276,3857,50,24.7,8.6,3.5,7.4,47.9,0.2,0.8,17.5,1.7,2.6,72.8,0.5,2,2.5,3.8,1,0.4,1.7,1
5779,3858,70,18.5,8.4,2.9,7,42.1,0,0.3,1,2.2,3.3,73.7,1.7,2.5,4.1,0.5,0.4,0.5,1,1
13424,3859,54,19.9,8.8,3,6.5,45.9,0.7,1.6,38.9,2.1,3,74.4,0.8,3.4,4,0.5,0.2,0.6,0.8,1
64,3860,60,19.8,12.4,5.1,8.8,57.6,0.1,0.2,28.5,2.7,4.1,66.7,2.1,3.5,5.8,0.5,0.4,0.5,1.3,1
8925,3861,65,10.7,6.2,2.5,5.5,43.4,-0.3,-0.7,20.2,1.6,2.1,81.4,0.6,0.7,1.2,1.2,0.5,0.2,1.3,1
10269,3862,65,29.1,11.5,4.3,10.8,40.1,0.6,1.9,38.6,2,3,70,1.2,2.9,4.1,3.1,1.2,0.1,2.2,0
40,3863,49,15.2,6.6,2.7,6.8,37.3,0.6,1.9,20.6,0.6,1,63.1,0.3,1.1,1.4,2.7,0.7,-0.7,1.8,1
12666,3864,88,32,13.9,4.7,9.7,49.8,0.5,1.4,37.3,4,4.5,91.7,1.4,4.4,6,4.4,1,0.4,2.1,1
3192,3865,42,13.4,3.1,1.1,3.4,34.2,0.3,1,0.6,0.8,0.9,78.4,0.7,1.7,2.5,0.9,0.3,-0.1,1,1
1359,3866,20,16.5,4.3,1.8,4.3,38.3,-0.1,-0.4,5.8,0.8,1.1,69.2,0.6,1.8,2.3,1.3,0.5,0.3,0.8,1
12417,3867,68,10.9,4.1,1.5,2.9,51.2,-0.2,-0.6,8.6,1.4,2,70.8,1.1,1.4,2.4,0.3,0.5,0.2,0.6,0
7521,3868,48,11.8,4.6,1.8,4.7,39.4,0.5,1.6,4.1,0.4,0.9,52,0.2,0.7,1,1.7,0.4,-0.1,0.8,1
5586,3869,69,12.1,7.4,2.6,6,41,0.3,0.6,-4,2.5,4.1,66,1.3,1.4,2.5,0.5,0.2,0.2,1.4,1
